Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
MYH 2022/2985,IT-Högskolan Sverige AB,Agil testautomatiserare,Data/IT,0,0,0,0,0,20,40,0,0,0,0,0,0,0,60,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2022/2988,Stockholm School of Business,Digital transformation för redovisningskonsulter,"Ekonomi, administration och försäljning",0,0,0,0,0,40,80,0,0,0,0,0,0,0,30,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2022/2996,IT-Högskolan Sverige AB,Pythonprogrammering för AI-utveckling,Data/IT,0,0,0,0,0,20,45,0,0,0,0,0,0,0,30,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2022/3001,"Kartotek, Kart- och teknikutbildarna i Haninge AB",Markmodellering och kartering med drönare,Samhällsbyggnad och byggteknik,0,0,0,0,0,20,50,0,0,0,0,0,0,0,30,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2022/3004,"Kartotek, Kart- och teknikutbildarna i Haninge AB",Avancerad byggmätning,Samhällsbyggnad och byggteknik,0,0,0,0,0,20,50,0,0,0,0,0,0,0,30,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1080,Nyköpings kommun - Flygteknik technical training,El- och avioniktekniker,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,15,0,0,0,99,Nyköping,Södermanland,Nyköping-Oxelösund,1,1,1
MYH 2023/1082,Handelsakademin i Göteborg AB,Cloud Development,Data/IT,0,0,0,0,0,0,0,0,0,40,40,0,0,0,70,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1091,KompetensUtvecklingsInstitutet Sverige AB,Vård och omsorg vid demenssjukdom/kognitiv sjukdom,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,0,0,0,35,40,0,0,0,35,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,3,3
MYH 2023/1093,KompetensUtvecklingsInstitutet Sverige AB,Vårdhygien och vårdrelaterade infektioner,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,0,0,0,20,30,0,0,0,25,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,3,3
MYH 2023/1097,IHM Business School AB Stockholm,Data Storytelling & Visualization,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,40,0,0,0,40,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1099,IHM Business School AB Stockholm,Hållbar affärsutveckling inom besöksnäringen,"Hotell, restaurang och turism",0,0,0,0,0,0,0,0,0,40,40,0,0,0,30,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1100,KompetensUtvecklingsInstitutet Sverige AB,Palliativ vård,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,0,0,0,30,40,0,0,0,30,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,3,3
MYH 2023/1103,IHM Business School AB Göteborg,Digital & Social selling,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1105,IHM Business School AB Göteborg,E-Commerce B2B,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,70,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1108,IHM Business School AB Göteborg,Hållbarhet inom e-handeln,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,30,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1109,KompetensUtvecklingsInstitutet Sverige AB,Implementering av välfärdsteknik inom vård och omsorg ,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,0,0,0,40,40,0,0,0,35,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,3,3
MYH 2023/1110,IHM Business School AB Stockholm,Datadriven innehållsstrategi,Journalistik och information,0,0,0,0,0,0,0,0,0,40,40,0,0,0,50,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1112,Plushögskolan AB - Vårdyrkeshögskolan,Mikrobiologi och vårdhygien,Hälso- och sjukvård samt socialt arbete,0,0,0,0,0,0,0,0,0,50,50,0,0,0,30,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,3,3
MYH 2023/1128,Handelsakademin i Göteborg AB,Hållbarhet inom Byggsektorn,Samhällsbyggnad och byggteknik,0,0,0,0,0,0,0,0,0,40,40,0,0,0,50,Luleå,Norrbotten,Luleå,1,1,1
MYH 2023/1136,IHM Business School AB Malmö,Affärsstödjande hållbarhetsanalys,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,40,40,0,0,0,40,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1139,YrkesAkademin YH AB,Kvalitetsutveckling hållbara fordonsverkstäder,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,5,25,0,0,0,50,Västerås,Västmanland,Västerås,1,1,1
MYH 2023/1141,YrkesAkademin YH AB,Grön vätgas - tillämpning och utveckling,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,30,0,0,0,60,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,1,1
MYH 2023/1157,IHM Business School AB Stockholm,Digitalisering och hållbarhet inom HR,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,Stockholm,Stockholm,Stockholm,1,1,1
MYH 2023/1163,IHM Business School AB Göteborg,E-Commerce Supply & Demand Chain,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1169,IHM Business School AB Malmö,Cirkulär affärsutveckling,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,40,0,0,0,60,Malmö,Skåne,Malmö-Lund,1,1,1
MYH 2023/1172,Plushögskolan AB - Teknikhögskolan,Automation för livsmedelsindustrin,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,40,50,0,0,0,35,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,4,4
