,Anordnare namn,Utbildningsområde,Totalt beviljade platser 2020,Totalt beviljade platser 2021,Totalt beviljade platser 2022,Totalt beviljade platser 2023,Totalt beviljade platser 2024,Totalt beviljade platser 2025
105,"Göteborgs stad, Yrgo",Hälso- och sjukvård samt socialt arbete,40,0,0,0,0,0
106,"Göteborgs stad, Yrgo",Samhällsbyggnad och byggteknik,20,40,0,0,0,0
107,"Göteborgs stad, Yrgo",Teknik och tillverkning,30,0,0,0,0,0
108,"Göteborgs stad, Yrgo",Transporttjänster,50,0,0,0,0,0
109,Handelsakademin i Göteborg AB,Data/IT,0,35,70,40,160,120
110,Handelsakademin i Göteborg AB,"Ekonomi, administration och försäljning",0,0,0,40,40,0
111,Handelsakademin i Göteborg AB,Samhällsbyggnad och byggteknik,0,0,35,110,80,40
112,"Haninge kommun, Centrum Vux","Ekonomi, administration och försäljning",50,0,0,0,0,0
113,Hantverksakademin i Sverige AB,"Ekonomi, administration och försäljning",0,0,0,8,0,0
114,Hermods AB,Teknik och tillverkning,60,0,0,0,0,0
115,Hermods AB Göteborg,"Ekonomi, administration och försäljning",0,0,0,60,0,0
116,Hermods AB Göteborg,Pedagogik och undervisning,0,0,0,30,0,0
117,Hermods AB Göteborg,Samhällsbyggnad och byggteknik,0,0,0,30,0,0
118,Hermods AB Göteborg,Teknik och tillverkning,0,0,30,150,0,0
119,Hermods AB Helsingborg,"Ekonomi, administration och försäljning",0,0,30,30,0,0
120,Hermods AB Helsingborg,Samhällsbyggnad och byggteknik,0,30,30,0,0,0
121,Hermods AB Karlskrona,"Ekonomi, administration och försäljning",0,0,0,30,0,0
122,Hermods AB Karlskrona,Hälso- och sjukvård samt socialt arbete,0,0,0,60,60,30
123,Hermods AB Karlskrona,Samhällsbyggnad och byggteknik,0,0,0,60,0,0
124,Hermods AB Malmö,Teknik och tillverkning,0,0,0,30,30,0
125,Hermods AB Stockholm,Data/IT,0,0,0,30,0,0
126,Hermods AB Stockholm,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,30,90,0,0
127,Hermods AB Stockholm,Samhällsbyggnad och byggteknik,0,0,0,60,60,30
128,Hermods AB Stockholm,Säkerhetstjänster,0,0,0,30,0,0
129,Hermods AB Umeå,Samhällsbyggnad och byggteknik,0,0,0,30,0,0
130,Hermods AB Umeå,Teknik och tillverkning,0,0,0,60,30,30
131,Hermods AB Örebro,Data/IT,0,0,0,60,30,30
132,Hermods AB Örebro,Samhällsbyggnad och byggteknik,0,0,0,60,0,0
133,Hermods AB Örebro,Teknik och tillverkning,0,0,0,0,30,30
134,Hermods AB Östersund,"Ekonomi, administration och försäljning",0,0,0,30,0,0
135,Hermods AB Östersund,Hälso- och sjukvård samt socialt arbete,0,0,0,30,0,0
136,Hermods AB Östersund,Samhällsbyggnad och byggteknik,0,0,30,30,0,0
137,Hyper Island Program AB,Data/IT,40,80,0,0,0,0
138,Hyper Island Program AB,"Ekonomi, administration och försäljning",40,80,0,0,0,0
139,Hyper Island Program AB - Karlskrona,Data/IT,0,0,0,55,110,55
140,Hyper Island Program AB - Karlskrona,"Ekonomi, administration och försäljning",200,0,55,110,160,110
141,Hyper Island Program AB - Stockholm,Data/IT,0,0,0,0,50,50
142,Hyper Island Program AB - Stockholm,"Ekonomi, administration och försäljning",0,0,0,0,60,0
143,"Härryda kommun, Yrkeshögskolan i Mölnlycke","Ekonomi, administration och försäljning",0,0,0,30,0,0
144,Högskolan Kristianstad Uppdrag AB,Hälso- och sjukvård samt socialt arbete,0,0,0,40,0,0
145,Högskolan för lärande och kommunikation i Jönköping AB,Hälso- och sjukvård samt socialt arbete,28,28,0,0,0,0
146,IHM Business School AB Göteborg,Data/IT,0,0,0,0,40,40
147,IHM Business School AB Göteborg,"Ekonomi, administration och försäljning",105,230,475,500,980,780
148,IHM Business School AB Göteborg,"Hotell, restaurang och turism",60,70,140,140,80,40
149,IHM Business School AB Göteborg,Journalistik och information,0,0,0,0,0,0
150,IHM Business School AB Malmö,Data/IT,30,0,0,0,0,0
151,IHM Business School AB Malmö,"Ekonomi, administration och försäljning",0,0,75,190,120,0
152,IHM Business School AB Stockholm,"Ekonomi, administration och försäljning",70,50,115,390,80,0
153,IHM Business School AB Stockholm,"Hotell, restaurang och turism",0,0,0,40,40,0
154,IHM Business School AB Stockholm,Journalistik och information,0,0,0,40,40,0
155,INSU AB,Samhällsbyggnad och byggteknik,70,140,70,70,70,120
156,INSU AB,Teknik och tillverkning,0,0,0,0,0,50
157,IT-Högskolan Stockholm AB,Data/IT,80,50,0,45,50,0
158,IT-Högskolan Stockholm AB,"Ekonomi, administration och försäljning",0,0,0,50,0,0
159,IT-Högskolan Stockholm AB,Juridik,0,0,0,0,0,0
160,IT-Högskolan Sverige AB,Data/IT,45,20,40,305,440,180
161,IT-Högskolan Sverige AB,"Ekonomi, administration och försäljning",0,0,0,0,0,0
162,"ITH, Institutet För Tillämpad Hydraulik",Teknik och tillverkning,0,0,0,0,25,25
163,Idé & Resurscentrum i Ljungby AB,Teknik och tillverkning,0,8,18,0,0,0
164,Idéutvecklarna AB,"Hotell, restaurang och turism",0,0,0,0,60,60
165,Iris Hadar AB,"Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,0
166,Iris Hadar AB,Samhällsbyggnad och byggteknik,0,0,0,30,0,0
167,Iterum Education,"Ekonomi, administration och försäljning",70,70,0,0,0,0
168,Iterum Education AB,"Ekonomi, administration och försäljning",0,0,0,70,35,35
169,JAG Utbildning AB,"Ekonomi, administration och försäljning",0,30,60,30,30,30
170,JAG Utbildning AB,Hälso- och sjukvård samt socialt arbete,0,0,0,180,0,0
171,JENSEN Education School AB,"Ekonomi, administration och försäljning",0,0,0,35,105,70
172,JENSEN Education School AB,Samhällsbyggnad och byggteknik,0,0,35,105,70,35
173,John Ericsson Institutet,"Ekonomi, administration och försäljning",0,0,0,0,40,40
174,John Ericsson Institutet,Samhällsbyggnad och byggteknik,160,160,180,420,314,99
175,John Ericsson Institutet,Teknik och tillverkning,0,0,0,0,0,0
176,KYH AB,Data/IT,0,0,0,0,35,35
177,KYH AB,"Ekonomi, administration och försäljning",0,0,0,0,0,0
178,KYH AB,Samhällsbyggnad och byggteknik,30,0,0,0,67,67
179,KYH AB,Teknik och tillverkning,0,0,0,0,0,0
180,KYH AB Göteborg,Teknik och tillverkning,0,0,0,30,30,0
181,KYH AB Malmö,Samhällsbyggnad och byggteknik,0,0,30,90,60,0
182,KYH AB Stockholm,"Ekonomi, administration och försäljning",0,0,0,30,0,0
183,KYH AB Stockholm,Samhällsbyggnad och byggteknik,0,0,0,30,30,0
184,Karlskoga kommun,Teknik och tillverkning,0,0,0,0,90,90
185,Karlskoga kommun/Vuxnas lärande,Teknik och tillverkning,0,0,0,20,40,0
186,Karlsson Climate AB,Teknik och tillverkning,20,25,0,0,0,0
187,"Kartotek, Kart- och teknikutbildarna i Haninge AB",Samhällsbyggnad och byggteknik,0,0,40,245,230,0
188,KompetensUtvecklingsInstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,0,95,275,395,405,255
189,KompetensUtvecklingsInstitutet Sverige AB,Pedagogik och undervisning,0,0,35,150,0,0
190,KompetensUtvecklingsinstitutet Sverige AB,Hälso- och sjukvård samt socialt arbete,120,60,0,0,0,0
191,"Kramfors kommun, Yrkeshögskolan Höga kusten",Hälso- och sjukvård samt socialt arbete,10,10,0,0,0,0
192,"Kristianstad kommun, Vuxenutbildningen",Teknik och tillverkning,0,0,30,0,0,0
193,Kunskap & Kompetens i Sverige AB,"Ekonomi, administration och försäljning",100,30,0,30,30,0
194,Kunskap & Kompetens i Sverige AB,Hälso- och sjukvård samt socialt arbete,0,0,25,50,0,0
195,"Kunskapsförbundet Väst, Vuxenutbildningen",Hälso- och sjukvård samt socialt arbete,25,35,70,180,155,175
196,"Kunskapsförbundet Väst, Vuxenutbildningen",Pedagogik och undervisning,0,0,35,70,70,0
197,Kunskapsgruppen Yrkeshögskola Sverige AB,Samhällsbyggnad och byggteknik,0,0,0,0,30,30
198,Kunskapsgruppen Yrkeshögskola Sverige AB,Teknik och tillverkning,0,0,0,0,30,30
199,Köpings kommun,Hälso- och sjukvård samt socialt arbete,0,0,0,180,0,0
200,Köpings kommun,Teknik och tillverkning,20,40,0,120,0,0
201,LAVI gruppen AB,Teknik och tillverkning,0,0,0,0,0,0
202,"Landskrona Stad, Yrkeshögskolan Landskrona",Hälso- och sjukvård samt socialt arbete,30,0,30,60,55,0
203,Lernia Utbildning AB,Data/IT,49,24,0,0,0,0
204,Lernia Utbildning AB,Teknik och tillverkning,38,38,0,95,69,0
205,Lexicon Yrkeshögskola AB,"Ekonomi, administration och försäljning",0,0,0,0,120,120
206,Lexicon Yrkeshögskola AB,Hälso- och sjukvård samt socialt arbete,0,0,0,0,50,50
207,Lexicon Yrkeshögskola AB,Pedagogik och undervisning,0,0,0,0,35,35
